               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.024928,            0.015813,                   0,             0.86827,              0.8741,             0.92751,             0.63021,            0.019082,           0.0067542,                   0,           0.0024513,           0.0024513,           0.0024513
                  63,            0.023462,            0.014003,                   0,             0.85028,             0.89928,             0.91797,             0.61648,            0.019494,           0.0067685,                   0,           0.0023275,           0.0023275,           0.0023275
                  64,            0.025097,            0.015868,                   0,             0.81542,             0.90579,              0.9183,             0.61925,             0.01861,           0.0070645,                   0,           0.0022038,           0.0022038,           0.0022038
                  65,            0.023841,            0.014786,                   0,             0.88175,             0.84173,             0.92527,             0.61456,            0.018928,           0.0068825,                   0,             0.00208,             0.00208,             0.00208
                  66,             0.02392,            0.015433,                   0,             0.87874,             0.86691,             0.92024,             0.62471,            0.018553,           0.0068685,                   0,           0.0019563,           0.0019563,           0.0019563
                  67,            0.023849,            0.013972,                   0,             0.88464,             0.82758,             0.92034,             0.62357,            0.018694,           0.0070601,                   0,           0.0018325,           0.0018325,           0.0018325
                  68,            0.023893,             0.01548,                   0,             0.85406,             0.89928,             0.93257,             0.64583,            0.018115,           0.0066835,                   0,           0.0017087,           0.0017087,           0.0017087
                  69,            0.024051,            0.015098,                   0,             0.85268,             0.89568,             0.93414,             0.64028,            0.018484,           0.0066491,                   0,            0.001585,            0.001585,            0.001585
                  70,            0.022656,            0.014227,                   0,             0.87582,             0.88794,              0.9297,             0.64366,             0.01891,           0.0065365,                   0,           0.0014612,           0.0014612,           0.0014612
                  71,            0.024058,             0.01497,                   0,             0.91611,             0.83453,             0.92978,             0.64615,            0.018026,           0.0068648,                   0,           0.0013375,           0.0013375,           0.0013375
                  72,            0.023162,            0.014602,                   0,              0.8811,             0.84532,             0.92612,              0.6336,            0.018115,           0.0071604,                   0,           0.0012138,           0.0012138,           0.0012138
                  73,            0.022541,            0.015615,                   0,             0.87137,              0.8529,             0.92178,             0.63191,            0.018268,           0.0071188,                   0,             0.00109,             0.00109,             0.00109
                  74,            0.021515,            0.014331,                   0,             0.89226,             0.83453,             0.92783,             0.63576,            0.018394,           0.0068447,                   0,          0.00096625,          0.00096625,          0.00096625
                  75,            0.022199,            0.014128,                   0,             0.84652,             0.89282,              0.9304,             0.63867,            0.018756,           0.0067924,                   0,           0.0008425,           0.0008425,           0.0008425
                  76,              0.0229,            0.013979,                   0,             0.83487,              0.8777,             0.92213,             0.64425,            0.018322,           0.0067875,                   0,          0.00071875,          0.00071875,          0.00071875
                  77,            0.022624,            0.014896,                   0,             0.86066,             0.86651,             0.92486,             0.64283,             0.01825,            0.006678,                   0,            0.000595,            0.000595,            0.000595
                  78,            0.022259,            0.014448,                   0,             0.88211,             0.86131,             0.93192,             0.64958,             0.01825,           0.0066775,                   0,          0.00047125,          0.00047125,          0.00047125
                  79,            0.021695,            0.014146,                   0,             0.88684,             0.85612,              0.9292,             0.64827,            0.018259,           0.0067012,                   0,           0.0003475,           0.0003475,           0.0003475
